song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
83,Non al suo amante (Giovanni de Macque),0762,762,0762.xml,Non al suo amante (Giovanni de Macque),De_Macque-Non_al_suo.mxl,https://www.cpdl.org/wiki/images/b/bc/De_Macque-Non_al_suo.mxl,CPDL,André Vierendeels,31615,2014-04-05,https://www.cpdl.org/wiki/index.php/Non_al_suo_amante_(Giovanni_de_Macque),redistributable_cpdl_terms
84,Hymnus Eucharisticus (Benjamin Rogers),0764,764,0764.xml,Hymnus Eucharisticus (Benjamin Rogers),Ws-rog-hymn.mxl,https://www.cpdl.org/wiki/images/d/db/Ws-rog-hymn.mxl,CPDL,Jonathan Goodliffe,7740,2004-08-09,https://www.cpdl.org/wiki/index.php/Hymnus_Eucharisticus_(Benjamin_Rogers),redistributable_cpdl_terms
87,Weep you no more sad fountains (John Dowland),0797,797,0797.xml,Weep you no more sad fountains (John Dowland),Weep_you_no_more_sad_fountains_Dowland.mxl,https://www.cpdl.org/wiki/images/2/29/Weep_you_no_more_sad_fountains_Dowland.mxl,CPDL,James Gibb,44001,2017-04-11,https://www.cpdl.org/wiki/index.php/Weep_you_no_more_sad_fountains_(John_Dowland),redistributable_cpdl_terms
91,Lisa Ln (Gustav Holst),0817,817,0817.xml,Lisa Ln (Gustav Holst),Holst_LisaLan.mxl,https://www.cpdl.org/wiki/images/2/2e/Holst_LisaLan.mxl,CPDL,Andrew Sims,47582,2017-11-20,https://www.cpdl.org/wiki/index.php/Lisa_L%C3%A2n_(Gustav_Holst),redistributable_cpdl_terms
93,"Cucu, cucu! (Juan del Encina)",0840,840,0840.xml,"Cucu, cucu! (Juan del Encina)","Cucu,_cucu_Encina.mxl",https://www.cpdl.org/wiki/images/4/4e/Cucu%2C_cucu_Encina.mxl,CPDL,James Gibb,44049,2017-04-15,"https://www.cpdl.org/wiki/index.php/%C2%A1Cucu,_cucu!_(Juan_del_Encina)",redistributable_cpdl_terms
94,Elle craint cela (Clment Janequin),0844,844,0844.xml,Elle craint cela (Clment Janequin),Janequin-Elle_craint_cela.mxl,https://www.cpdl.org/wiki/images/f/f1/Janequin-Elle_craint_cela.mxl,CPDL,André Vierendeels,49162,2018-03-26,https://www.cpdl.org/wiki/index.php/Elle_craint_cela_(Cl%C3%A9ment_Janequin),redistributable_cpdl_terms
96,Utica (Hezekiah Moors),0849,849,0849.xml,Utica (Hezekiah Moors),UticaMoors1809bpr.mxl,https://www.cpdl.org/wiki/images/1/14/UticaMoors1809bpr.mxl,Public Domain,Barry Johnston,51077,2018-08-30,https://www.cpdl.org/wiki/index.php/Utica_(Hezekiah_Moors),public_domain_marker
99,Rejoice in the Lord alway (Anonymous),0874,874,0874.xml,Rejoice in the Lord alway (Anonymous),Rejoice_in_the_Lord_Alway_-_anonymous.mxl,https://www.cpdl.org/wiki/images/5/58/Rejoice_in_the_Lord_Alway_-_anonymous.mxl,CPDL,Ryan Kelly,51066,2018-08-30,https://www.cpdl.org/wiki/index.php/Rejoice_in_the_Lord_alway_(Anonymous),redistributable_cpdl_terms
102,"Wachet auf, ruft uns die Stimme, BWV 140 (Johann Sebastian Bach)",0891,891,0891.xml,"Wachet auf, ruft uns die Stimme, BWV 140 (Johann Sebastian Bach)",Bach-Cantata_140-Chorus-No7.mxl,https://www.cpdl.org/wiki/images/d/d8/Bach-Cantata_140-Chorus-No7.mxl,CPDL,John Henry Fowler,18295,2008-11-13,"https://www.cpdl.org/wiki/index.php/Wachet_auf,_ruft_uns_die_Stimme,_BWV_140_(Johann_Sebastian_Bach)",redistributable_cpdl_terms
104,"Not unto us, oh Lord (Thomas Attwood Walmisley)",0894,894,0894.xml,"Not unto us, oh Lord (Thomas Attwood Walmisley)",Not_unto_us_Walmisley.mxl,https://www.cpdl.org/wiki/images/1/12/Not_unto_us_Walmisley.mxl,CPDL,James Gibb,21194,2010-03-11,"https://www.cpdl.org/wiki/index.php/Not_unto_us,_oh_Lord_(Thomas_Attwood_Walmisley)",redistributable_cpdl_terms
108,Doulce memoire (Pierre Sandrin),0908,908,0908.xml,Doulce memoire (Pierre Sandrin),Sandrin-Doulce_memoire.mxl,https://www.cpdl.org/wiki/images/3/3d/Sandrin-Doulce_memoire.mxl,CPDL,André Vierendeels,28663,2013-03-28,https://www.cpdl.org/wiki/index.php/Doulce_memoire_(Pierre_Sandrin),redistributable_cpdl_terms
111,Queste non son pi lagrime (Orlando di Lasso),0918,918,0918.xml,Queste non son pi lagrime (Orlando di Lasso),Lassus-Queste_non_son.mxl,https://www.cpdl.org/wiki/images/7/75/Lassus-Queste_non_son.mxl,CPDL,André Vierendeels,30232,2013-10-03,https://www.cpdl.org/wiki/index.php/Queste_non_son_pi%C3%B9_lagrime_(Orlando_di_Lasso),redistributable_cpdl_terms
112,There is a land of pure delight (William Marsh),0926,926,0926.xml,There is a land of pure delight (William Marsh),MarsW-ThereIsALand.mxl,https://www.cpdl.org/wiki/images/6/6c/MarsW-ThereIsALand.mxl,Public Domain,Edmund Gooch,24714,2011-10-13,https://www.cpdl.org/wiki/index.php/There_is_a_land_of_pure_delight_(William_Marsh),public_domain_marker
114,Fly not so swift my dear (John Wilbye),0940,940,0940.xml,Fly not so swift my dear (John Wilbye),Fly_not_so_swift_my_dear.mxl,https://www.cpdl.org/wiki/images/d/d1/Fly_not_so_swift_my_dear.mxl,CPDL,James Gibb,67712,2022-01-24,https://www.cpdl.org/wiki/index.php/Fly_not_so_swift_my_dear_(John_Wilbye),redistributable_cpdl_terms
118,Salvator mundi (Giovanni Pierluigi da Palestrina),0950,950,0950.xml,Salvator mundi (Giovanni Pierluigi da Palestrina),Salvator_mundi_Palestrina.mxl,https://www.cpdl.org/wiki/images/4/40/Salvator_mundi_Palestrina.mxl,CPDL,Brian Marble,31760,2014-04-24,https://www.cpdl.org/wiki/index.php/Salvator_mundi_(Giovanni_Pierluigi_da_Palestrina),redistributable_cpdl_terms
119,Loudon (Samuel Holyoke),0958,958,0958.xml,Loudon (Samuel Holyoke),LoudonHolyoke1797bpr.mxl,https://www.cpdl.org/wiki/images/7/76/LoudonHolyoke1797bpr.mxl,Public Domain,Barry Johnston,41555,2016-10-23,https://www.cpdl.org/wiki/index.php/Loudon_(Samuel_Holyoke),public_domain_marker
122,What if I never speed (John Dowland),0997,997,0997.xml,What if I never speed (John Dowland),What_if_I_never_speed_Dowland.mxl,https://www.cpdl.org/wiki/images/e/e9/What_if_I_never_speed_Dowland.mxl,CPDL,James Gibb,43916,2017-04-07,https://www.cpdl.org/wiki/index.php/What_if_I_never_speed_(John_Dowland),redistributable_cpdl_terms
125,Onze Vader (Joachim Kelecom),1044,1044,1044.xml,Onze Vader (Joachim Kelecom),Onze_Vader_SATB.mxl,https://www.cpdl.org/wiki/images/a/af/Onze_Vader_SATB.mxl,CPDL,Joachim Kelecom,42708,2017-01-18,https://www.cpdl.org/wiki/index.php/Onze_Vader_(Joachim_Kelecom),redistributable_cpdl_terms
126,Dartmouth (Amos Pilsbury),1047,1047,1047.xml,Dartmouth (Amos Pilsbury),DartmouthPilsbury1799bpr.mxl,https://www.cpdl.org/wiki/images/3/39/DartmouthPilsbury1799bpr.mxl,Public Domain,Barry Johnston,48469,2018-01-19,https://www.cpdl.org/wiki/index.php/Dartmouth_(Amos_Pilsbury),public_domain_marker
